Category,Task_ID,Problem Statement,Assumptions Used
,B014,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Convex and smooth functions
,B015,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Convex and non-smooth functions
,B016,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Non-convex and smooth functions
"Proximal Methods (Prox operators: Moreau envelopes, fixed-point inequalities)",B017,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,Convex and smooth functions
,B018,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,Convex and non-smooth functions
,B019,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,Strongly convex and smooth functions
,B020,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,Strongly convex and non-smooth functions
,B021,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,Non-convex and smooth functions
"Constrained Optimization (Projections/Frank-Wolfe: Feasibility, duality gaps)",B022,The algorithm iteratively updates parameters by solving a linear minimization subproblem over the constraint set and moving towards this solution along a line segment. It is designed for smooth convex optimization problems with closed convex and bounded constraint domains.,Smooth and convex functions for constrained minimization with closed convex and bounded domain
,B023,The algorithm iteratively updates parameters by solving a linear minimization subproblem over the constraint set and moving towards this solution along a line segment. It is designed for smooth convex optimization problems with closed convex and bounded constraint domains.,Non-smooth and convex functions for constrained minimization with closed convex and bounded domain
,B024,"The algorithm iteratively updates parameters by taking gradient steps and projecting the result back onto the constraint set at each iteration. It is designed for smooth convex optimization problems with closed, convex and bounded constraint domains.",Smooth and convex functions for constrained minimization with closed convex and bounded domain
,B025,"The algorithm iteratively updates parameters by taking gradient steps and projecting the result back onto the constraint set at each iteration. It is designed for smooth convex optimization problems with closed, convex and bounded constraint domains.",Strongly convex and smooth functions
"Adaptive Methods (e.g., Adam) (Moment estimates: Bias correction, adaptive steps)",B026,"The algorithm combines momentum-based updates with adaptive learning rates, maintaining exponential moving averages of both gradients (first moment) and squared gradients (second moment). At each iteration, it computes bias-corrected moment estimates and uses these to update parameters with momentum-driven steps. It is designed for smooth nonconvex optimization problems where the stochastic gradients have bounded variance.",Smooth and non-convex functions with bounded second-order moment of stochastic gradient
,B027,"The algorithm combines momentum-based updates with adaptive learning rates, maintaining exponential moving averages of both gradients (first moment) and squared gradients (second moment). At each iteration, it computes bias-corrected moment estimates and uses these to update parameters with momentum-driven steps. It is designed for smooth nonconvex optimization problems where the stochastic gradients have bounded variance.",Non-smooth and non-convex functions with bounded second-order moment of stochastic gradient
,B028,"The algorithm combines momentum-based updates with adaptive learning rates, maintaining exponential moving averages of both gradients (first moment) and squared gradients (second moment). At each iteration, it computes bias-corrected moment estimates and uses these to update parameters with momentum-driven steps. It is designed for smooth nonconvex optimization problems where the stochastic gradients have bounded variance.",Smooth and weakly convex functions with bounded second-order moment of stochastic gradient
Coordinate Descent (Block updates: Coordinate-wise inequalities),B029,The algorithm iteratively updates the full parameter vector by computing the gradient along a randomly selected coordinate direction at each step. It uses this coordinate-wise gradient information to determine the update direction and step size for the entire parameter vector. It is designed for functions satisfying the Polyak-Łojasiewicz condition that are smooth with respect to individual coordinates.,PL and coordinate-wise smooth functions
,B030,The algorithm iteratively updates the full parameter vector by computing the gradient along a randomly selected coordinate direction at each step. It uses this coordinate-wise gradient information to determine the update direction and step size for the entire parameter vector. It is designed for functions satisfying the Polyak-Łojasiewicz condition that are smooth with respect to individual coordinates.,Strongly convex and smooth functions
"Variance-Reduced Methods (New Additions: SVRG/SARAH - Finite-sum inequalities, variance reduction)",B031,"The algorithm computes a full gradient periodically and uses it to reduce variance in stochastic updates, alternating between snapshot computations and inner loops of variance-reduced steps.",Strongly convex and smooth finite-sum objectives
,B032,"The algorithm computes a full gradient periodically and uses it to reduce variance in stochastic updates, alternating between snapshot computations and inner loops of variance-reduced steps.",Convex and smooth finite-sum objectives
,B033,"The algorithm computes a full gradient periodically and uses it to reduce variance in stochastic updates, alternating between snapshot computations and inner loops of variance-reduced steps.",Non-convex and smooth finite-sum objectives
"Accelerated Methods (New: Nesterov Momentum - Inertia terms, optimal rates)",B034,"The algorithm incorporates momentum to accelerate convergence, using an extrapolation step before gradient computation to achieve optimal rates.",Strongly convex and smooth functions
,B035,"The algorithm incorporates momentum to accelerate convergence, using an extrapolation step before gradient computation to achieve optimal rates.",Convex and smooth functions
,B036,"The algorithm incorporates momentum to accelerate convergence, using an extrapolation step before gradient computation to achieve optimal rates.",Non-convex and smooth functions
"Online Learning (New: OGD/FTL - Regret bounds, online inequalities)",B037,"The algorithm updates parameters based on online gradients from sequential data, aiming for sublinear regret rather than convergence to a fixed point.",Convex and Lipschitz online functions
,B038,"The algorithm updates parameters based on online gradients from sequential data, aiming for sublinear regret rather than convergence to a fixed point.",Strongly convex online functions
"Bilevel Optimization (Hard New: Hypergradient descent - Nested inequalities, approximation errors)",B039,The algorithm solves a bilevel problem by approximating the inner loop solution and computing hypergradients for the outer loop.,"Smooth and strongly convex inner, convex outer"
,B040,The algorithm solves a bilevel problem by approximating the inner loop solution and computing hypergradients for the outer loop.,Smooth non-convex inner/outer
Non-Monotone Methods (Hard New: For non-monotone linesearch - Relaxed descent inequalities),B041,The algorithm uses a non-monotone linesearch to allow occasional objective increases while ensuring overall progress.,Non-convex smooth functions with bounded gradients
,B042,The algorithm uses a non-monotone linesearch to allow occasional objective increases while ensuring overall progress.,Weakly convex non-smooth functions
Distributed Optimization (New: Federated averaging - Communication compression inequalities),B043,The algorithm aggregates local updates from distributed nodes with periodic global synchronization to minimize communication.,Strongly convex smooth functions in federated setting
,B044,The algorithm aggregates local updates from distributed nodes with periodic global synchronization to minimize communication.,Non-convex smooth functions in federated setting
"Quasi-Newton (New: BFGS/L-BFGS - Hessian approximations, secant conditions)",B045,The algorithm approximates the Hessian inverse using rank-2 updates based on secant equations for quadratic convergence.,Strongly convex smooth functions
,B046,The algorithm approximates the Hessian inverse using rank-2 updates based on secant equations for quadratic convergence.,Convex smooth functions
Mirror Descent (New: Bregman divergences - Generalized projections),B047,"The algorithm uses mirror maps and Bregman divergences for updates, suitable for non-Euclidean geometries.",Convex functions over simplex constraints
,B048,"The algorithm uses mirror maps and Bregman divergences for updates, suitable for non-Euclidean geometries.",Strongly convex functions with entropy regularizer
Zeroth-Order Methods (New: Derivative-free - Finite-difference approximations),B049,"The algorithm estimates gradients using function evaluations only, via finite differences or random perturbations.",Smooth non-convex functions with query complexity bounds
,B050,"The algorithm estimates gradients using function evaluations only, via finite differences or random perturbations.",Non-smooth convex functions with query complexity bounds
