Task_ID,Problem Statement,Assumptions Used,Algorithm_Family,Key_Proof_Technique,Source,References
V2_21,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator.,Convex and Smooth f,Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_22,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator., Convex non-smooth g (Proximal Gradient),Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_23,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator.,Non-Convex Smooth f,Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_24,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator., Convex non-smooth g (Proximal Gradient),Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_25,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Uses momentum term on the gradient input.,Convex and Smooth f,Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_26,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Uses momentum term on the gradient input., Convex non-smooth g (Proximal Accelerated),Proximal Gradient,Non-expansiveness of Prox,"Parikh & Boyd, ""Proximal Algorithms"", Foundations and Trends 2014","Parikh & Boyd, 'Proximal Algorithms', 2014; https://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf"
V2_27,The algorithm selects coordinate i_k with probability p_i. Update only affects coordinate i_k. Proof must weight expectations by 1/p_i.,Convex and Coordinate-wise Smooth functions (Coordinate Descent),Coordinate Descent,Probability Weighted Expectation,"Nesterov, ""Efficiency of Coordinate Descent Methods"", 2012","Nesterov, 'Efficiency of Coordinate Descent Methods', 2012; https://link.springer.com/article/10.1007/s10107-010-0383-2"
V2_28,The algorithm selects coordinate i_k with probability p_i. Update only affects coordinate i_k. Proof must weight expectations by 1/p_i.,Non-Convex and Coordinate-wise Smooth functions (Coordinate Descent),Coordinate Descent,Probability Weighted Expectation,"Nesterov, ""Efficiency of Coordinate Descent Methods"", 2012","Nesterov, 'Efficiency of Coordinate Descent Methods', 2012; https://link.springer.com/article/10.1007/s10107-010-0383-2"
V2_29,The algorithm selects coordinate i_k with probability p_i. Update only affects coordinate i_k. Uses momentum on coordinate updates.,Strongly Convex and Coordinate-wise Smooth functions (Accelerated CD),Coordinate Descent,Probability Weighted Expectation,"Nesterov, ""Efficiency of Coordinate Descent Methods"", 2012","Nesterov, 'Efficiency of Coordinate Descent Methods', 2012; https://link.springer.com/article/10.1007/s10107-010-0383-2"
V2_30,"The algorithm updates x_{k+1} = x_k + beta(x_k - x_{k-1}) - alpha * grad(f)(x_k). Momentum term uses previous gradient, not lookahead gradient.",Strongly Convex and Smooth functions (Heavy Ball),Heavy Ball,Lyapunov (Distinct from Nesterov),"Lessard et al., ""Analysis and Design of Optimization Algorithms"", 2016","Lessard et al., 'Analysis and Design of Optimization Algorithms', 2016; https://arxiv.org/abs/1408.3595"
V2_31,"The algorithm updates x_{k+1} = x_k + beta(x_k - x_{k-1}) - alpha * grad(f)(x_k). Momentum term uses previous gradient, not lookahead gradient.",Non-Convex and Smooth functions (Heavy Ball),Heavy Ball,Lyapunov (Distinct from Nesterov),"Lessard et al., ""Analysis and Design of Optimization Algorithms"", 2016","Lessard et al., 'Analysis and Design of Optimization Algorithms', 2016; https://arxiv.org/abs/1408.3595"
V2_32,"The algorithm solves linear minimization oracle s_k = argmin_{s in C} <grad(f)(x_k), s>. Update: x_{k+1} = (1-gamma)x_k + gamma*s_k.",Convex and Smooth functions over Compact Set C (Frank-Wolfe),Frank-Wolfe,Linearization Error Bound,"Jaggi, ""Revisiting Frank-Wolfe"", ICML 2013","Jaggi, 'Revisiting Frank-Wolfe', ICML 2013; https://arxiv.org/abs/1301.6199"
V2_33,"The algorithm solves linear minimization oracle s_k = argmin_{s in C} <grad(f)(x_k), s>. Update: x_{k+1} = (1-gamma)x_k + gamma*s_k.",Non-Convex and Smooth functions over Compact Set C (Frank-Wolfe),Frank-Wolfe,Linearization Error Bound,"Jaggi, ""Revisiting Frank-Wolfe"", ICML 2013","Jaggi, 'Revisiting Frank-Wolfe', ICML 2013; https://arxiv.org/abs/1301.6199"
V2_34,"The algorithm solves linear minimization oracle s_k = argmin_{s in C} <grad(f)(x_k), s>. Uses away-steps to drop vertices from active set.",Convex and Smooth functions over Polytope (Away-Step FW),Frank-Wolfe,Linearization Error Bound,"Jaggi, ""Revisiting Frank-Wolfe"", ICML 2013","Jaggi, 'Revisiting Frank-Wolfe', ICML 2013; https://arxiv.org/abs/1301.6199"
V2_35,"The algorithm clips gradients: g_t = grad(f)(x_t) / max(1, ||grad(f)(x_t)||/C). Update uses clipped g_t. Proof requires handling the clipping bias.",Non-Convex and Smooth functions (Clipped SGD),Clipped SGD,Bias-Variance Tradeoff under Clipping,"Zhang et al., ""Gradient Clipping Helps"", 2019","Zhang et al., 'Gradient Clipping Helps', 2019; https://arxiv.org/abs/1905.11881"
V2_36,"The algorithm clips gradients: g_t = grad(f)(x_t) / max(1, ||grad(f)(x_t)||/C). Update uses clipped g_t. Uses momentum on clipped gradients.",Non-Convex and Smooth functions (Clipped Adam),Clipped SGD,Bias-Variance Tradeoff under Clipping,"Zhang et al., ""Gradient Clipping Helps"", 2019","Zhang et al., 'Gradient Clipping Helps', 2019; https://arxiv.org/abs/1905.11881"
V2_37,The algorithm uses stochastic Hessian estimates H_t. Update: x_{k+1} = x_t - alpha * H_t^{-1} grad(f)(x_t). Proof requires bounding condition number of H_t.,Strongly Convex and Smooth functions (Stochastic Newton),Stochastic Newton,Hessian Concentration,"Roosta-Khorasani & Mahoney, ""Sub-Sampled Newton Methods"", 2019","Roosta-Khorasani & Mahoney, 'Sub-Sampled Newton Methods', 2019; https://jmlr.org/papers/v20/17-197.html"
V2_38,The algorithm uses stochastic Hessian estimates H_t. Update: x_{k+1} = x_t - alpha * H_t^{-1} grad(f)(x_t). Uses subsampling for Hessian.,Non-Convex and Smooth functions (Subsampled Newton),Stochastic Newton,Hessian Concentration,"Roosta-Khorasani & Mahoney, ""Sub-Sampled Newton Methods"", 2019","Roosta-Khorasani & Mahoney, 'Sub-Sampled Newton Methods', 2019; https://jmlr.org/papers/v20/17-197.html"
V2_39,The algorithm maintains dual variables y_k and primal x_k. Updates involve gradient steps on dual and proximal steps on primal.,Convex and Smooth functions (Primal-Dual Hybrid Gradient),Primal-Dual (PDHG),Saddle Point Gap Analysis,"Chambolle & Pock, ""First-Order Primal-Dual Algorithm"", 2011","Chambolle & Pock, 'First-Order Primal-Dual Algorithm', 2011; https://link.springer.com/article/10.1007/s10851-010-0251-1"
V2_40,The algorithm maintains dual variables y_k and primal x_k. Updates involve gradient steps on dual and proximal steps on primal.,Convex and Non-Smooth functions (Primal-Dual Hybrid Gradient),Primal-Dual (PDHG),Saddle Point Gap Analysis,"Chambolle & Pock, ""First-Order Primal-Dual Algorithm"", 2011","Chambolle & Pock, 'First-Order Primal-Dual Algorithm', 2011; https://link.springer.com/article/10.1007/s10851-010-0251-1"
V2_41,"The algorithm minimizes max_x min_y L(x,y). Updates x via gradient ascent and y via gradient descent with same step size.",Convex-Concave Smooth functions (Gradient Descent Ascent),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141"
V2_42,"The algorithm minimizes max_x min_y L(x,y). Updates x via gradient ascent and y via gradient descent with same step size.",Non-Convex-Concave Smooth functions (GDA),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141"
V2_43,"The algorithm minimizes max_x min_y L(x,y). Uses extra gradient step: x_{k+1/2} = x_k + step, then x_{k+1} using grad at x_{k+1/2}.",Convex-Concave Smooth functions (Extra-Gradient),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141"
V2_44,"The algorithm minimizes max_x min_y L(x,y). Uses optimistic update: uses gradient from previous step to correct current gradient.",Convex-Concave Smooth functions (Optimistic GDA),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141"
V2_45,"The algorithm adds Gaussian noise to gradients at each step: g_t = grad(f)(x_t) + N(0, sigma^2). Privacy budget must be tracked.",Convex and Smooth functions (DP-SGD),DP-SGD,Privacy Accounting + Noise Convergence,"Abadi et al., ""Deep Learning with Differential Privacy"", CCS 2016","Abadi et al., 'Deep Learning with Differential Privacy', CCS 2016; https://arxiv.org/abs/1607.00133"
V2_46,"The algorithm adds Gaussian noise to gradients at each step: g_t = grad(f)(x_t) + N(0, sigma^2). Privacy budget must be tracked.",Non-Convex and Smooth functions (DP-SGD),DP-SGD,Privacy Accounting + Noise Convergence,"Abadi et al., ""Deep Learning with Differential Privacy"", CCS 2016","Abadi et al., 'Deep Learning with Differential Privacy', CCS 2016; https://arxiv.org/abs/1607.00133"
V2_47,The algorithm maintains a running average of gradients A_k = sum_{i=1}^k g_i. Step size is alpha / sqrt(sum_{i=1}^k g_i^2).,Convex and Smooth functions (AdaGrad),AdaGrad,Adaptive Step Size Bound,"Duchi et al., ""Adaptive Subgradient Methods"", JMLR 2011","Duchi et al., 'Adaptive Subgradient Methods', JMLR 2011; https://jmlr.org/papers/v12/duchi11a.html"
V2_48,The algorithm maintains a running average of gradients A_k = sum_{i=1}^k g_i. Step size is alpha / sqrt(sum_{i=1}^k g_i^2).,Non-Convex and Smooth functions (AdaGrad),AdaGrad,Adaptive Step Size Bound,"Duchi et al., ""Adaptive Subgradient Methods"", JMLR 2011","Duchi et al., 'Adaptive Subgradient Methods', JMLR 2011; https://jmlr.org/papers/v12/duchi11a.html"
V2_49,The algorithm maintains a running average of squared gradients v_t = beta * v_{t-1} + (1-beta) * g_t^2. Step size is alpha / sqrt(v_t).,Non-Convex and Smooth functions (RMSProp),RMSProp,Moving Average Variance Bound,"Tieleman & Hinton, ""Lecture 6.5-rmsprop"", 2012","Tieleman & Hinton, 'Lecture 6.5-rmsprop', 2012; http://www.cs.toronto.edu/~tijmen/csc321/slides/lecture_slides_lec6.pdf"
V2_50,The algorithm uses a trust region constraint ||x - x_k|| <= Delta. Solves subproblem approximately before updating.,Non-Convex and Smooth functions (Trust Region),Trust Region,Cauchy Point Decrease,"Conn et al., ""Trust-Region Methods"", 2000","Conn et al., 'Trust-Region Methods', 2000; https://doi.org/10.1137/1.9780898719857"
V2_51,The algorithm uses a trust region constraint ||x - x_k|| <= Delta. Solves subproblem approximately before updating.,Convex and Smooth functions (Trust Region),Trust Region,Cauchy Point Decrease,"Conn et al., ""Trust-Region Methods"", 2000","Conn et al., 'Trust-Region Methods', 2000; https://doi.org/10.1137/1.9780898719857"
V2_52,The algorithm updates x_{k+1} = x_k - alpha * grad(f)(x_k) + noise_k. Noise variance decreases over time.,Non-Convex and Smooth functions (SGLD),SGLD,Langevin Dynamics Convergence,"Welling & Teh, ""Bayesian Learning via Stochastic Gradient Langevin"", 2011","Welling & Teh, 'Bayesian Learning via Stochastic Gradient Langevin', 2011; https://www.ics.uci.edu/~welling/publications/papers/stochastic_gradient_langevin.pdf"
V2_53,The algorithm updates x_{k+1} = x_k - alpha * grad(f)(x_k) + noise_k. Noise variance decreases over time.,Convex and Smooth functions (SGLD),SGLD,Langevin Dynamics Convergence,"Welling & Teh, ""Bayesian Learning via Stochastic Gradient Langevin"", 2011","Welling & Teh, 'Bayesian Learning via Stochastic Gradient Langevin', 2011; https://www.ics.uci.edu/~welling/publications/papers/stochastic_gradient_langevin.pdf"
V2_54,The algorithm maintains a snapshot of weights every k steps. Uses interpolation between snapshots for prediction.,Non-Convex and Smooth functions (SWA - Convergence aspect),SWA,Loss Surface Geometry,"Izmailov et al., ""Averaging Weights Leads to Wider Optima"", UAI 2018","Izmailov et al., 'Averaging Weights Leads to Wider Optima', UAI 2018; https://arxiv.org/abs/1803.05407"
V2_55,The algorithm uses a cyclic learning rate schedule. Step size varies between eta_min and eta_max every M steps.,Non-Convex and Smooth functions (Cyclic SGD),Cyclic/Warm Restart,Non-Monotonic Convergence,"Loshchilov & Hutter, ""SGDR: Stochastic Gradient Descent with Warm Restarts"", 2017","Loshchilov & Hutter, 'SGDR', 2017; https://arxiv.org/abs/1608.03983"
V2_56,The algorithm uses a warm restart schedule. Step size resets to eta_max every M steps and decays.,Non-Convex and Smooth functions (SGDR),Cyclic/Warm Restart,Non-Monotonic Convergence,"Loshchilov & Hutter, ""SGDR: Stochastic Gradient Descent with Warm Restarts"", 2017","Loshchilov & Hutter, 'SGDR', 2017; https://arxiv.org/abs/1608.03983"
V2_57,The algorithm selects a random subset of coordinates at each step (block coordinate). Updates only those blocks.,Convex and Block-Coordinate Smooth functions (Block CD),Block CD,Block Lipschitz Constants,"Richtarik & Takac, ""Iteration Complexity Analysis"", 2014","Richtarik & Takac, 'Iteration Complexity Analysis', 2014; https://arxiv.org/abs/1212.0873"
V2_58,The algorithm selects a random subset of coordinates at each step (block coordinate). Updates only those blocks.,Non-Convex and Block-Coordinate Smooth functions (Block CD),Block CD,Block Lipschitz Constants,"Richtarik & Takac, ""Iteration Complexity Analysis"", 2014","Richtarik & Takac, 'Iteration Complexity Analysis', 2014; https://arxiv.org/abs/1212.0873"
V2_59,The algorithm uses a quantized gradient operator Q(g) such that E[Q(g)] = g. Communicates Q(g) instead of g.,Convex and Smooth functions (Quantized SGD),Quantized SGD,Quantization Noise Bound,"Alistarh et al., ""QSGD: Communication-Efficient SGD"", NIPS 2017","Alistarh et al., 'QSGD', NIPS 2017; https://arxiv.org/abs/1610.02132"
V2_60,The algorithm uses a quantized gradient operator Q(g) such that E[Q(g)] = g. Communicates Q(g) instead of g.,Non-Convex and Smooth functions (Quantized SGD),Quantized SGD,Quantization Noise Bound,"Alistarh et al., ""QSGD: Communication-Efficient SGD"", NIPS 2017","Alistarh et al., 'QSGD', NIPS 2017; https://arxiv.org/abs/1610.02132"
V2_61,The algorithm uses error feedback: stores quantization error e_k and adds it to next gradient before quantization.,Non-Convex and Smooth functions (EF-SGD),Error Feedback,Error Accumulation Control,"Seide et al., ""1-bit SGD with Error Feedback"", 2014; Karimireddy et al., 2019","Seide et al., 2014 / Karimireddy et al., 2019; https://arxiv.org/abs/1901.09847"
V2_62,The algorithm uses a sparse gradient operator: only top-K largest magnitude gradients are communicated.,Non-Convex and Smooth functions (Top-K SGD),Error Feedback,Error Accumulation Control,"Seide et al., ""1-bit SGD with Error Feedback"", 2014; Karimireddy et al., 2019","Seide et al., 2014 / Karimireddy et al., 2019; https://arxiv.org/abs/1901.09847"
V2_63,The algorithm uses a sparse gradient operator: only top-K largest magnitude gradients are communicated. Uses error feedback.,Non-Convex and Smooth functions (Top-K EF-SGD),Error Feedback,Error Accumulation Control,"Seide et al., ""1-bit SGD with Error Feedback"", 2014; Karimireddy et al., 2019","Seide et al., 2014 / Karimireddy et al., 2019; https://arxiv.org/abs/1901.09847"
