,,,,,,,,,,,,,,,,,,,,,,,
Sr No.,Problem Statement,Link for Proof(PDF),Assumptions Used,Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),"Any fix required (None, Minor, Major, Rewrite)",Reviewer Name,Algo name (for reference only),Link for Regenerated Proof(PDF),Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),Overall Score (0–5),Model for evaluation,Link for Proof Evaluation (PDF),Comments on LLM Judge,Score for LLM Judge (0-5),
,,https://drive.google.com/file/d/1WxyuuG2ls1EEbFaXhy7Rr7xhi3dEbsQm/view?usp=sharing,Non-Convex and Smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/176EsHt5juw6SKwEEjQHsOZAqab-Pdomq/view?usp=sharing,Non-Convex and Non-Smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/1aAGPfuMClQ4b0fFrUnSZ17TOk7WGq0W-/view?usp=sharing,PL and Smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/1zvw1yvoan2E7FliPF5kTMvyVHsy1nOOb/view?usp=sharing,PL and Non-Smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/1N5rOYwnyKSMnFetGpsNZf3sw11Z4JvgW/view?usp=sharing,Weakly Convex and Smooth functions,no,no,no,5,4,Minor,Gpt5 plus,,,,,,,,,,,"Minor (either (i) note explicitly that ρ-weak convexity is for stability/context and not required for (4.8), or (ii) tighten the statement of which results actually depend on ρ.)",,
,,,,no,no,no,5,4,none,gemini 2.5 pro,,,,,,,,,,,,,
,,Weakly Convex and Non-Smooth functions.pdf,Weakly Convex and Non-Smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,"The algorithm iteratively updates parameters by linearizing the model while preserving the exact loss, using a closed-form step size instead of a hand-designed schedule. It is suited for high-dimensional, non-convex objectives in deep neural networks and exploits convex substructures for efficient convergence and good generalization.",deep-frank-wofe_convergence.pdf,,yes,no,no,3,5,In 4.3 section the assumption of change of dual and primal value is not correct.,Upasana,Deep-frank-wolfe,,,,,,,,,,,,
,,deep-frank-wofe_convergence.pdf,,no,yes,no,4,5,Minor,Grok,,,,,,,,,,,,,
,,deep-frank-wofe_convergence.pdf,,no,yes,no,4,4,Minor,GPT5 plus,,,,,,,,,,,Add two short lemmas (and a one-line strong-duality note).,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
2,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,2.pdf,convex Lipschitz functions,no,no,no,5,5,None,Geetika,Stochastic Subgradient Descent for convex Lipschitz functions,,,,,,,,,,same proof as existing ones,,
,,2.pdf,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,2.pdf,,no,yes,no,4,5,Minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,yes,no,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2b.pdf,strongly convex and smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,strongly convex and smooth functions,no,yes,yes,5,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,strongly convex and smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2c.pdf,strongly convex and non-smooth functions,no,no,yes,5,5,minor,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,strongly convex and non-smooth functions,no,no,no,5,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,strongly convex and non-smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,yes,yes,4,5,major,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2d.pdf,Convex and smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,Convex and smooth functions,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,Convex and smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2e.pdf,Convex and non-smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,Convex and non-smooth functions,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,Convex and non-smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2f.pdf,Non-Convex and Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,Non-Convex and Smooth functions,no,no,no,5,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,Non-Convex and Smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2g.pdf,Non-Convex and Non-Smooth functions,no,no,no,5,5,minor,qwen3 vl 235b a22b,,2g_v2.pdf,no,no,no,5,5,5,Geetika,,,,
,,,Non-Convex and Non-Smooth functions,no,yes,yes,4,4,minor,GPT5 plus,,,no,no,no,5,5,5,GPT5 plus,https://chatgpt.com/share/68e29f64-63e4-800f-99f7-2e8fb731a518,Verification is correct,5,
,,,Non-Convex and Non-Smooth functions,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_a29ac35e-6806-4b09-8ef9-b24023197823,Verification is correct,5,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/d26d5288-f746-4a73-b528-d9b47ba047f3?fev=0.0.222,Verification is correct,5,
,,,,,,,,,,,,,no,no,no,5,5,5,gemini 2.5 pro,,,,
,,2h.pdf,PL and Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,PL and Smooth functions,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,PL and Smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2i.pdf,PL and Non-Smooth functions,no,yes,no,4,5,minor,qwen3 vl 235b a22b,,2i_v2.pdf,no,yes,no,5,5,5,Geetika,,,,
,,,PL and Non-Smooth functions,no,yes,no,4,4,minor,GPT5 plus,,,no,yes,no,4,3,4,GPT5 plus,https://chatgpt.com/share/68e24483-cd90-800f-84db-42e9c403424d,Verification is correct,5,
,,,PL and Non-Smooth functions,no,no,no,5,5,minor,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_bf7816fa-e4c8-44bf-95cd-2cd590b18a2a,Verification is correct,5,
,,,,no,no,yes,5,5,minor,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/e1954587-b05d-4b12-b44a-4854d5cd636a?fev=0.0.222,Verification is correct,5,
,,,,,,,,,,,,,,,,,,,,,,,
,,2j.pdf,Weakly Convex and Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,Weakly Convex and Smooth functions,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,Weakly Convex and Smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2k.pdf,Weakly Convex and Non-Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,Weakly Convex and Non-Smooth functions,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,Weakly Convex and Non-Smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,3.pdf,convex and smooth functions,no,yes,no,3,3,minor,Surendra,Proximal SGD for convex and smooth functions,,,,,,,,,,,,
,,3.pdf,convex and smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,3.pdf,convex and smooth functions,no,yes,yes,4,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,yes ,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,prox_convex_nonsmooth.pdf,convex and non smooth,,,,,,,,,,,,,,,,,,,,
,,,convex and non smooth,no,yes(minor),no,4,5,minor,GPT5plus,,,,,,,,,,,,,
,,,convex and non smooth,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,convex and non smooth,,no,no,5,5,none,Qwn3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_strongconvex_smooth.pdf,strongly convex and smooth,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,4,minor,GPT plus,https://g.co/gemini/share/7cba959ef955,prox_strongconvex_smooth_v2.pdf,no,no,yes,4,5,4,Upasana,,"In the portion of main result and corrected proof, theorem1 step 7, the last inequality may not hold for eta in the interval (0,1/L]",,
,,,,no,yes(minor),yes,4,4,major,Grok,,,no,no,yes,3,3,3,GPT5 plus,https://chatgpt.com/share/68e2537f-07a4-800f-b7aa-2a51438f2504,Correctly spotted the problem in Theorem 1 and explained relevant changes.,4,
,,,,no,yes(minor),no,4,5,minor,Qwen3,,,no,no,no,5,5,5,Grok,https://grok.com/share/bGVnYWN5_b86f0096-2ccb-4fae-95d2-57be45299d73,Some more explanation could have made it concrete.,3,
,,,,no,yes(minor),yes,3,3,major,gemini 2.5 pro,,,no,no,yes,4,4,4,qwen3 vl 235b a22b,https://chat.qwen.ai/s/050f31f8-c394-4d0c-aa32-408e2af26202?fev=0.0.221,Better proof have been provided for Theorem 1.,5,
,,prox_strongconvex_nonsmooth.pdf,strongly convex and non smooth,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,5,minor,GPT5plus,https://g.co/gemini/share/60dfc9c70009,,,,,,,,,,,,
,,,,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,minor,Qwen3,,,,,,,,,,,,,
,,,,no,no,no ,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_noncovex_smooth.pdf,non convex and smooth ,,,,,,,,,,,,,,,,,,,,
,,,non convex and smooth ,no,yes(minor),no,4,4,minor,GPT5plus,,,,,,,,,,,,,
,,,non convex and smooth ,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,non convex and smooth ,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,yes(minor),yes ,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_nonconvex_nonsmooth.pdf,non convex and non smooth,,,,,,,,,,,,,,,,,,,,
,,,non convex and non smooth,no,no,no,5,5,no,GPT5plus,,prox_nonconvex_nonsmooth_v2.pdf,no,yes,no,3,4,3,Upasana,,"At the last, only the rate is mentioned, not the result.",,
,,,non convex and non smooth,no,yes,yes,4,5,minor,Grok,,,no,yes,no,2,3,2,GPT5 plus,https://chatgpt.com/share/68e29bba-c054-800f-9451-c187693b7560,Evaluated in detail,4,
,,,non convex and non smooth,no,no,no,5,5,none,Qwen,,,no,yes,no,2,5,2,Grok,https://grok.com/share/bGVnYWN5_6430376e-5312-4652-a6c2-8af05068c3e9,Not evaluated in detail,3,
,,,,no,yes,yes,5,5,minor,gemini 2.5 pro,https://g.co/gemini/share/17c7beb927ac,,no,no,-,3,5,3,qwen3 vl 235b a22b,https://chat.qwen.ai/s/4edc267a-0b77-4f8a-ac81-c54c0b96c8f3?fev=0.0.222,"Evaluated in detail, better than GPT5",5,
,,prox_pl_smooth.pdf,Polyak-Lojasiewicz and smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_pl_nonsmooth.pdf,Polyak-Lojasiewicz and non smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,5,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,yes(minor),yes,4,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_weaklyconvex_smooth.pdf,weakly convex and smooth,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,yes ,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,prox_weaklyconvex_nonsmooth.pdf,weakly convex and non smooth,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,4,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
4,The algorithm iteratively updates parameters by computing gradients on randomly sampled data points and taking steps in the negative gradient direction with a fixed step size. It is designed for smooth functions satisfying the Polyak-Lojasiewicz condition.,4.pdf,Polyak-Lojasiewicz and smooth functions,no,yes,no,3,3,minor,Surendra,Stochastic Gradient Descent for Polyak-Lojasiewicz and smooth functions,,,,,,,,,,Assumption (Sum of Lmax–Smooth) ,,
,,4.pdf,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,4.pdf,,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,yes,no,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
5,The algorithm iteratively updates parameters by solving a linear minimization subproblem over the constraint set and moving towards this solution along a line segment. It is designed for smooth convex optimization problems with closed convex and bounded constraint domains.,5.pdf,smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,yes,no,no,4,5,minor,Geetika,Frank-Wolfe algorithm for smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,,,,,,,,,,calculation in end is wrong after substituting learning rate,,
,,5.pdf,,no,Yes (lack of detailed justification in inductive step),no,4,4,minor,Grok,,,,,,,,,,,,,
,,,,no,yes,no,4,4,minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,yes,yes,4,5,minor,Qwen,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,frankwolfe_nonsmooth_convex.pdf,non smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,5,minor,GPT5plus,,frankwolfe_nonsmooth_convex_v2.pdf,yes,yes,no,3,5,4,Geetika,The proof substitutes the smoothness parameter value for L as 1/mu in the bound obtained for smooth objective. There is no proper proof sketch for non-smooth objective separately as to how the duality gap is handled in non-smooth case.,,,
,,,,no,no,no,5,5,no,Grok,,,no,no,no,5,5,5,GPT5plus,https://chatgpt.com/share/68e29d7b-a3cc-800f-9d43-4f2af0447dda,Does not evaluate in detail. ,3,
,,,,no,no,no,5,5,no,qwen3 max,,,no,no,no,5,5,5,Grok,https://grok.com/share/bGVnYWN5_f1e8d3d0-9629-49df-b2f0-f3e5b4f4360d,Does not evaluate in detail. ,3,
,,,,no,yes(minor),yes,4,5,minor,gemini 2.5 pro,https://g.co/gemini/share/a80580010125,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/ef527c9d-c802-40e0-9b78-67677acd062c?fev=0.0.222,Does not evaluate in detail. ,3,
,,frankwolfe_smooth_stronglyconvex.pdf, smooth and strongly convex functions for Constrained minimization problem with closed convex and bounded domain,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,no,QWEN3,,,,,,,,,,,,,
,,,,no,yes,yes,4,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,frankwolfe_nonsmooth_stronglyconvex.pdf, non smooth and strongly convex functions for Constrained minimization problem with closed convex and bounded domain,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
6,"The algorithm iteratively updates parameters by taking gradient steps and projecting the result back onto the constraint set at each iteration. It is designed for smooth convex optimization problems with closed, convex and bounded constraint domains.",6.pdf,smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,no,yes,yes,4,5,minor,Geetika,"Projected Gradient descent for smooth and convex functions for Constrained minimization problem with closed, convex and bounded domain.",,,,,,,,,,,,
,,6.pdf,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,6.pdf,,no,yes,no,4,4,Minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,6b.pdf,strongly convex and smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,yes,no,4,4,minor,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,6c.pdf,strongly convex and non-smooth functions,no,no,no,4,5,minor,qwen3 vl 235b a22b,,6c_v2.pdf,no,no,no,5,5,5,Upasana,,Verification is correct.,,
,,,,no,yes,yes,4,4,minor,GPT5 plus,,,no,yes,no,4,5,4,GPT5 plus,https://chatgpt.com/share/68e23652-2260-800f-b378-b1b14e7f40d6,Evaluated and have mentioned in detail,5,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_b077db76-0e06-49d7-a20e-f14a6ddce87d,Doesnot evaluate in detail,4,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/e558e067-a7aa-410e-bf83-88179fdc99dd?fev=0.0.222,Evaluated and have mentioned in detail,5,
,,,,,,,,,,,,,,,,,,,,,,,
,,6d.pdf,Convex and smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,yes,no,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,6e.pdf,Convex and non-smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,yes,yes,5,4,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,6f.pdf,Non-Convex and Smooth functions,no,no,no,4,5,none,qwen3 vl 235b a22b,,6f_v2.pdf,no,no,yes,3,4,4,Upasana,,In lemma 3 the operator is different in the statement and then what is derived at last,,
,,,,no,yes,no,4,5,minor,GPT5 plus,,,no,no,yes,3,3,3,GPT5 plus,https://chatgpt.com/share/68e239ea-e874-800f-9df7-814791f1ebd1,"It identified the misfunction in Lemma 3, and also mentioned minor required changes(Best of them all)",5,
,,,,no,yes,no,4,5,minor,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_55dae442-fef8-45c9-8e3b-d5ce124de52d,It could not identify the operator misfunction,3,
,,,,no,yes,no,5,5,none,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/fcfe994d-e59c-4f7c-a14a-edc4cf6179a4?fev=0.0.222,It also could not identify the operator misfunction,3,
,,,,,,,,,,,,,,,,,,,,,,,
,,6g.pdf,Non-Convex and Non-Smooth functions,no,no,yes,4,5,none,qwen3 vl 235b a22b,,6g_v2.pdf,no,no,no,5,5,5,Upasana,,Verification is correct,,
,,,,no,yes,yes,3,4,major,GPT5 plus,,,no,no,no,5,5,5,GPT5plus,https://chatgpt.com/share/68e2a119-1ac0-800f-8a26-bf9a0bc5fe33,Doesnot evaluate in detail,4,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_49b244bb-68fa-46e5-a230-2aa643b6539a,Doesnot evaluate in detail,4,
,,,,no,yes,yes,4,5,major,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/61ee141d-2279-4dec-a774-dac702bf95ca?fev=0.0.222,Doesnot evaluate in detail,4,
,,,,,,,,,,,,,,,,,,,,,,,
,,6h.pdf,PL and Smooth functions,no,no,no,5,5,minor,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,6i.pdf,PL and Non-Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,6j.pdf,Weakly Convex and Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,6j_v2.pdf,no,no,no,5,5,5,Upasana,,Verification is correct.,,
,,,,no,no,yes,5,4,minor,GPT5 plus,,,no,no,no,5,5,5,GPT5plus,https://chatgpt.com/share/68e29fba-3444-800f-98dc-46c2fe9d4eda,It has evaluated in detail and has better mentioned all other factors correctly.,5,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_277ca796-511c-46fa-96fd-fe980cade508,It doesnt evaluate in detail ,4,
,,,,no,yes ,no,4,5,minor,gemini 2.5 pro,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/84827b3a-9dda-4881-b201-b41f12473fe7?fev=0.0.222,It doesnt evaluate in detail ,4,
,,,,,,,,,,,,,,,,,,,,,,,
,,6k.pdf,Weakly Convex and Non-Smooth functions,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,4,4,minor,GPT5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
